mean_hr,rmssd,sdnn,rr_std,peak_count
133.9765678842178,175.09917824542237,105.65117321096591,105.65117321096591,10
136.80506685432792,171.75114785678565,97.34511143825706,97.34511143825706,10
144.3850267379679,100.32525978208548,76.81145747868611,76.81145747868611,11
123.35025380710658,245.50354527122565,169.7777759823038,169.7777759823038,10
130.1989150090416,166.27268247752428,135.4430885904245,135.4430885904245,11
142.02032277346086,128.50037229133756,78.9099998913236,78.9099998913236,12
115.58528428093646,195.8846887520256,147.04153941411116,147.04153941411116,9
112.64667535853977,193.4840226463166,108.96140938225743,108.96140938225743,9
129.94652406417114,102.46762511901434,80.0460448957963,80.0460448957963,10
120.37151702786377,114.76206598926078,70.1765253026344,70.1765253026344,10
136.02015113350126,125.42110139405219,81.05020544371948,81.05020544371948,11
120.22263450834878,70.21791477646966,56.504245564416124,56.504245564416124,10
119.33701657458563,181.970948027222,103.57134410451529,103.57134410451529,10
119.11764705882356,217.35556435947225,137.42437750853261,137.42437750853261,10
123.87096774193549,191.13395027794934,121.62050034182172,121.62050034182172,9
118.43728581220012,216.3382737225401,148.64964129281134,148.64964129281134,9
129.94652406417111,209.91299270453186,163.22988334818825,163.22988334818825,10
116.20712844653664,274.3237637115324,187.72844879269394,187.72844879269394,9
107.79787897691828,129.92926443497538,144.63754120427132,144.63754120427132,9
130.12048192771084,114.23980490482012,69.94265728896764,69.94265728896764,10
115.35380507343123,149.98530204298072,81.12526037166457,81.12526037166457,9
121.27261384903306,170.29329728079563,98.11708492051628,98.11708492051628,10
120.07411982705372,244.76383805569213,132.54942166820467,132.54942166820467,10
121.34831460674157,260.7330089191533,154.02270555720182,154.02270555720182,9
122.88242730720607,176.9239478796845,105.22835722153103,105.22835722153103,10
116.4420485175202,67.9441102407127,47.40568934965562,47.40568934965562,9
107.08215297450424,414.0519812896402,233.35087937484587,233.35087937484587,8
130.46979865771814,218.23904169737284,143.15731794159763,143.15731794159763,10
121.80451127819548,216.86467092135396,125.93273402075562,125.93273402075562,10
117.15254237288134,348.40433695719406,200.0672027334013,200.0672027334013,9
131.4668289713938,113.86253835482314,79.50512445631927,79.50512445631927,11
126.89295039164492,157.90634433184405,103.06331521964253,103.06331521964253,10
115.50802139037431,159.75068759460424,80.93779046851922,80.93779046851922,9
123.4285714285714,54.24673569288145,62.44339000032361,62.44339000032361,10
122.34109502831969,171.88867790693078,95.91369068895213,95.91369068895213,10
135.0,125.18890047631672,90.10548611631751,90.10548611631751,10
124.13793103448276,204.38857932385727,139.25261016435468,139.25261016435468,10
120.67039106145252,176.33966942337648,123.47839317162706,123.47839317162706,8
109.0909090909091,279.72137497704324,161.36235199691194,161.36235199691194,9
133.24194653872516,146.02170373942008,98.4572738871199,98.4572738871199,10
122.37960339943344,87.87868421482997,90.95896850018299,90.95896850018299,9
109.02208201892745,158.24280341440965,94.00877351852213,94.00877351852213,9
133.33333333333334,133.56782363900302,128.3381432480059,128.3381432480059,11
142.57425742574256,150.55054431093313,93.12186692053285,93.12186692053285,11
108.40652446675033,208.71657871208242,121.07056851988595,121.07056851988595,9
114.51292246520875,123.86610937276748,70.64159097160825,70.64159097160825,9
120.75471698113208,77.12309499303774,68.94875171208196,68.94875171208196,9
123.35025380710658,192.17173791130645,129.61934115549704,129.61934115549704,10
130.0334448160535,177.644807042412,119.73797155471526,119.73797155471526,10
113.83399209486166,95.97269599956563,82.52793672148947,82.52793672148947,9
117.39130434782608,116.91206240203363,93.21089853090288,93.21089853090288,9
115.50802139037432,130.93494352397343,109.83643844315304,109.83643844315304,9
108.2319255547602,250.86014581276487,191.34639184726083,191.34639184726083,8
92.96987087517935,347.5065502535683,285.3985493333686,285.3985493333686,7
122.49527410207938,203.03921502878742,138.03440854506832,138.03440854506832,10
120.6703910614525,206.19036736131147,151.95344388452543,151.95344388452543,10
128.23218997361477,182.23047914897273,140.60124124009843,140.60124124009843,10
137.22998729351968,95.75166496885197,86.47949874799058,86.47949874799058,11
129.94652406417111,96.34024549083611,80.24928771416795,80.24928771416795,10
139.89637305699483,121.01324055480363,86.85343124205583,86.85343124205583,11
133.58070500927644,164.32250650901315,102.40209114859393,102.40209114859393,11
123.03797468354432,135.94448417562876,85.15610525294314,85.15610525294314,10
119.48371235402581,202.2634268155281,131.33649921098169,131.33649921098169,10
129.94652406417111,118.97517637134476,78.45579449786429,78.45579449786429,10
107.5295581829496,223.64376671737216,130.59572003342748,130.59572003342748,9
123.58550540368722,216.74233009341066,163.79091954503372,163.79091954503372,10
